Num	Chromosome	Region	Strand	MappedChromosome	MappedRegion
0	A01	5673768..8686273	+	C01	7169566..12442211
1	A01	14334873..16380319	+	C01	26142074..29984327
2	A01	4373132..5357897	+	C01	5830866..7152181
3	A01	22863392..23888612	+	C01	16595418..18529684
4	A01	13929257..14415096	+	C01	30781529..31669991
5	A01	2564991..2921132	+	C01	33839704..34691281
8	A01	3873..4327474	-	C01	10858..5824135
9	A01	9211784..10335042	-	C01	12232952..14237322
10	A01	21086763..21899398	-	C01	36545087..37987036
11	A01	16711485..17473625	-	C01	32208831..33713857
12	A01	20626217..21015313	-	C01	35865294..36432458
13	A01	11932993..12742657	-	C01	25569123..27038277
14	A01	12475849..13442699	-	C01	24372100..25395711
15	A01	19769742..20216687	-	C01	34734589..35592217
16	A01	17660374..17966189	-	C01	31720283..32245490
17	A01	10561293..11538540	-	C01	14849587..16511957
18	A01	18450614..18549635	-	C01	38440664..38585563
19	A01	24382685..24488417	-	C01	38603221..38750671
20	A01	21021776..21090791	-	C01	38360059..38439659
21	A01	22742065..22864930	-	C01	24601455..25500933
216	A01	5258459..5946219	-	C02	29129820..30979314
217	A01	9668325..10054129	-	C02	10094646..11162096
218	A01	19304222..19642410	-	C02	3767421..4250449
219	A01	664409..1310366	-	C02	8650220..9717763
220	A01	4635528..5168589	-	C02	30451587..32088237
394	A01	16822324..18685677	+	C03	21661066..23179572
395	A01	6283194..7065447	+	C03	50508072..51579430
396	A01	2512141..3495447	+	C03	27841703..29806764
397	A01	19898125..20504772	+	C03	21252044..21819796
398	A01	20687518..21012845	+	C03	20247812..20811476
399	A01	5640947..6029662	+	C03	49657081..50437157
400	A01	21446681..21841756	+	C03	456458..916898
415	A01	411013..2327364	-	C03	53036632..55163450
416	A01	4785522..5770995	-	C03	47726079..49442993
417	A01	15160824..16380319	-	C03	23829421..24970009
418	A01	3449274..4069272	-	C03	46543544..47772126
419	A01	14039338..14409094	-	C03	22916552..23194911
420	A01	5930407..6289426	-	C03	50072091..50501554
421	A01	4161714..4376302	-	C03	45893229..46437942
422	A01	11550200..12067472	-	C03	7523933..7865717
423	A01	21876335..22094384	-	C03	17889971..18354072
424	A01	9924993..10282856	-	C03	6072043..6480284
425	A01	6329748..6894094	-	C03	17185827..17780962
426	A01	3014534..3136340	-	C03	49427485..49593817
427	A01	19921634..20302396	-	C03	56836057..57319714
428	A01	19756745..19839973	-	C03	19783439..20023842
429	A01	11028433..11538540	-	C03	34559464..36241508
430	A01	8033100..8425748	-	C03	7483181..8132091
431	A01	10292668..10510111	-	C03	11397371..11838956
432	A01	19736799..19959700	-	C03	2657995..2965054
739	A01	17538582..17819576	-	C04	13856851..14234388
740	A01	14903367..15265532	-	C04	13017759..13636255
742	A01	4053914..4316194	-	C04	29276615..29800972
955	A01	15255670..16460677	+	C05	18083575..22119341
956	A01	17356630..17651519	+	C05	30838699..31366807
960	A01	16644007..17455558	-	C05	26697554..28210984
961	A01	19801232..20575095	-	C05	28239522..29605906
962	A01	20634800..21015313	-	C05	30046569..30682278
963	A01	21529266..21987120	-	C05	31139281..31952313
964	A01	18450614..18549635	-	C05	32123732..32405226
965	A01	24367859..24484612	-	C05	32520230..32709029
966	A01	21021776..21076892	-	C05	32019715..32106738
1145	A01	4892038..8686273	+	C07	41033300..44104798
1146	A01	3873..2458857	+	C07	44724332..46839490
1147	A01	2854331..3898992	+	C07	46840029..47900089
1148	A01	4390517..4873728	+	C07	38991245..39492639
1149	A01	10292668..10728493	+	C07	36322654..36919290
1150	A01	3948788..4304636	+	C07	47847748..48267168
1151	A01	13538811..14171538	+	C07	38605935..38914379
1152	A01	403375..1001481	+	C07	7113084..10194355
1153	A01	8698650..9096423	+	C07	38795305..38988873
1160	A01	9109041..10335042	-	C07	44048633..44717254
1161	A01	2477795..3422650	-	C07	9970054..14754542
1162	A01	4509943..5158238	-	C07	27587084..28635355
1163	A01	5690008..5933684	-	C07	26805514..27821066
1164	A01	23846791..24204189	-	C07	1151209..1747316
1165	A01	1286168..1887099	-	C07	35353224..36220471
1412	A01	19921634..20575095	+	C06	20499803..21553326
1413	A01	16376755..17142615	+	C06	10334574..11596689
1422	A01	8751234..9096423	-	C06	6250745..7122856
1634	A01	22863392..23695245	+	C08	23918872..24836913
1635	A01	3872268..4627648	+	C08	35072123..36113517
1636	A01	23750840..24164894	+	C08	26611443..27362354
1637	A01	18259..394596	+	C08	15920814..16443660
1638	A01	13538811..14139219	+	C08	14263058..15003785
1639	A01	14462247..14864104	+	C08	25819358..26473498
1640	A01	7712173..7995215	+	C08	15163710..15369992
1646	A01	973242..1887099	-	C08	33683678..34597967
1647	A01	9115609..9841146	-	C08	15368513..15902467
1648	A01	12253801..12515612	-	C08	24928348..25803143
1880	A01	21789263..22211446	+	C09	1387704..1900376
1881	A01	11092298..11992775	+	C09	17051152..18885364
1882	A01	19295673..20039151	+	C09	32081849..33813782
1883	A01	6007649..6851948	+	C09	11244001..12995598
1893	A01	10292668..10688595	-	C09	3881204..4428421
1894	A01	4383599..4811618	-	C09	7821181..8962528
1895	A01	5013412..5770995	-	C09	6462318..7620192
1896	A01	1327377..2179314	-	C09	36010967..36862619
1897	A01	2968493..3612270	-	C09	5020530..5866942
1898	A01	20632512..20855182	-	C09	38329980..38687929
34	A02	5568508..6374357	-	C01	12060698..13234130
35	A02	16498458..17235151	-	C01	6216009..6755380
36	A02	19561524..20142626	-	C01	38362657..38750671
227	A02	10057066..13159331	+	C02	14011206..20894484
228	A02	3611257..5536609	+	C02	5403708..9597297
229	A02	2158405..3479684	+	C02	3277414..5447020
230	A02	8243116..9361663	+	C02	37846751..39910228
231	A02	16053754..17198032	+	C02	30293741..32074768
232	A02	17325025..18027628	+	C02	32283719..33840507
233	A02	1278147..1568925	+	C02	2843404..3301726
234	A02	9349059..9552827	+	C02	13375890..13924116
238	A02	2092..1012692	-	C02	1017290..2568062
239	A02	19617424..20369469	-	C02	40069142..41293253
240	A02	5551257..6247434	-	C02	9695801..10775648
241	A02	21975494..22597116	-	C02	41565359..42547090
242	A02	18041571..18460070	-	C02	12438765..13513250
243	A02	18483190..18842130	-	C02	42887302..43584316
244	A02	1088375..1320245	-	C02	45392..362786
245	A02	19093291..19401938	-	C02	42327711..42794280
246	A02	8029610..8232984	-	C02	10804652..11309924
247	A02	3535225..3604584	-	C02	32087366..32267109
248	A02	21738929..21994521	-	C02	43588494..44030988
249	A02	23021908..23241357	-	C02	3933711..4395933
250	A02	15347505..15531245	-	C02	20633679..21328188
446	A02	1690431..5529420	+	C03	1990978..5947864
447	A02	22478105..22890631	+	C03	29881399..31049419
448	A02	21546822..21927718	+	C03	11200505..11801793
449	A02	4234030..4892054	+	C03	33109805..36299190
