Num	Chromosome	Region	Strand	MappedChromosome	MappedRegion
0	C01	7169566..12442211	+	A01	5673768..8686273
1	C01	26142074..29984327	+	A01	14334873..16380319
2	C01	5830866..7152181	+	A01	4373132..5357897
3	C01	16595418..18529684	+	A01	22863392..23888612
4	C01	30781529..31669991	+	A01	13929257..14415096
5	C01	33839704..34691281	+	A01	2564991..2921132
8	C01	10858..5824135	-	A01	3873..4327474
9	C01	12232952..14237322	-	A01	9211784..10335042
10	C01	36545087..37987036	-	A01	21086763..21899398
11	C01	32208831..33713857	-	A01	16711485..17473625
12	C01	35865294..36432458	-	A01	20626217..21015313
13	C01	25569123..27038277	-	A01	11932993..12742657
14	C01	24372100..25395711	-	A01	12475849..13442699
15	C01	34734589..35592217	-	A01	19769742..20216687
16	C01	31720283..32245490	-	A01	17660374..17966189
17	C01	14849587..16511957	-	A01	10561293..11538540
18	C01	38440664..38585563	-	A01	18450614..18549635
19	C01	38603221..38750671	-	A01	24382685..24488417
20	C01	38360059..38439659	-	A01	21021776..21090791
21	C01	24601455..25500933	-	A01	22742065..22864930
216	C02	29129820..30979314	-	A01	5258459..5946219
217	C02	10094646..11162096	-	A01	9668325..10054129
218	C02	3767421..4250449	-	A01	19304222..19642410
219	C02	8650220..9717763	-	A01	664409..1310366
220	C02	30451587..32088237	-	A01	4635528..5168589
394	C03	21661066..23179572	+	A01	16822324..18685677
395	C03	50508072..51579430	+	A01	6283194..7065447
396	C03	27841703..29806764	+	A01	2512141..3495447
397	C03	21252044..21819796	+	A01	19898125..20504772
398	C03	20247812..20811476	+	A01	20687518..21012845
399	C03	49657081..50437157	+	A01	5640947..6029662
400	C03	456458..916898	+	A01	21446681..21841756
415	C03	53036632..55163450	-	A01	411013..2327364
416	C03	47726079..49442993	-	A01	4785522..5770995
417	C03	23829421..24970009	-	A01	15160824..16380319
418	C03	46543544..47772126	-	A01	3449274..4069272
419	C03	22916552..23194911	-	A01	14039338..14409094
420	C03	50072091..50501554	-	A01	5930407..6289426
421	C03	45893229..46437942	-	A01	4161714..4376302
422	C03	7523933..7865717	-	A01	11550200..12067472
423	C03	17889971..18354072	-	A01	21876335..22094384
424	C03	6072043..6480284	-	A01	9924993..10282856
425	C03	17185827..17780962	-	A01	6329748..6894094
426	C03	49427485..49593817	-	A01	3014534..3136340
427	C03	56836057..57319714	-	A01	19921634..20302396
428	C03	19783439..20023842	-	A01	19756745..19839973
429	C03	34559464..36241508	-	A01	11028433..11538540
430	C03	7483181..8132091	-	A01	8033100..8425748
431	C03	11397371..11838956	-	A01	10292668..10510111
432	C03	2657995..2965054	-	A01	19736799..19959700
739	C04	13856851..14234388	-	A01	17538582..17819576
740	C04	13017759..13636255	-	A01	14903367..15265532
742	C04	29276615..29800972	-	A01	4053914..4316194
955	C05	18083575..22119341	+	A01	15255670..16460677
956	C05	30838699..31366807	+	A01	17356630..17651519
960	C05	26697554..28210984	-	A01	16644007..17455558
961	C05	28239522..29605906	-	A01	19801232..20575095
962	C05	30046569..30682278	-	A01	20634800..21015313
963	C05	31139281..31952313	-	A01	21529266..21987120
964	C05	32123732..32405226	-	A01	18450614..18549635
965	C05	32520230..32709029	-	A01	24367859..24484612
966	C05	32019715..32106738	-	A01	21021776..21076892
1145	C07	41033300..44104798	+	A01	4892038..8686273
1146	C07	44724332..46839490	+	A01	3873..2458857
1147	C07	46840029..47900089	+	A01	2854331..3898992
1148	C07	38991245..39492639	+	A01	4390517..4873728
1149	C07	36322654..36919290	+	A01	10292668..10728493
1150	C07	47847748..48267168	+	A01	3948788..4304636
1151	C07	38605935..38914379	+	A01	13538811..14171538
1152	C07	7113084..10194355	+	A01	403375..1001481
1153	C07	38795305..38988873	+	A01	8698650..9096423
1160	C07	44048633..44717254	-	A01	9109041..10335042
1161	C07	9970054..14754542	-	A01	2477795..3422650
1162	C07	27587084..28635355	-	A01	4509943..5158238
1163	C07	26805514..27821066	-	A01	5690008..5933684
1164	C07	1151209..1747316	-	A01	23846791..24204189
1165	C07	35353224..36220471	-	A01	1286168..1887099
1412	C06	20499803..21553326	+	A01	19921634..20575095
1413	C06	10334574..11596689	+	A01	16376755..17142615
1422	C06	6250745..7122856	-	A01	8751234..9096423
1634	C08	23918872..24836913	+	A01	22863392..23695245
1635	C08	35072123..36113517	+	A01	3872268..4627648
1636	C08	26611443..27362354	+	A01	23750840..24164894
1637	C08	15920814..16443660	+	A01	18259..394596
1638	C08	14263058..15003785	+	A01	13538811..14139219
